,Tap #,Name ,AVG,6/1/26- 6/7/26,5/25/26- 5/31/26,5/18/26- 5/24/26,5/11/26- 5/17/26,5/4/26- 5/10/26,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25
,51,PEACH MARGARITA (JOSE CUERVO) 1,0.11,0.05,0.09,0.16,0.11,0.08,0.19,0.07,0.1,0.09,0.12,0.13,0.1,0.1,0.12,0.1,0.11,0.11,0.12,0.12,0.12,0.09,0.12,0.09,0.1,0.15,0.11,,0.1,0.1,0.09,0.13,0.12,0.06,0.04,0.06
,91,Pink Whitney (Vodka) 2,6.81,0,17.6,4.5,7,1.5,3,18,1.5,8,4.5,6,8,9.5,5,7,7,8,6.5,,,,,,,,,,,,,,,,,0
,6,Pink Whitney (Vodka) 3,11,8.5,0,6,8,7.5,17,7,5,9.5,4.5,9,13.5,16.5,26,7.5,10,12.5,9.5,18.53,24,,,,,,,,1.8,1.9,5.3,1.5,0,6,0,0
,61,POMEGRANATE MARTINI (TITO'S) 1,0.11,0.11,0.04,0.12,0.12,0.09,0.14,0.09,0.06,0.11,0.09,0.15,0.13,0.12,0.12,0.15,0.14,0.1,0.11,0.15,0.13,0,0.18,0.11,,,,,0.1,0.1,,0.19,0.12,0.11,0.1,0.07
,52,RASPBERRY MARGARITA (JOSE CUERVO) 1,0.17,0.05,0.04,0.09,0.08,0.1,0.15,0.16,0.13,0.18,0.17,0.12,0.2,0.24,0.22,0.27,0.17,0.2,0.33,0.19,0.25,0.16,0.29,0.14,0.17,0.25,0.17,,0.2,0.2,0.18,0.22,0.23,0.2,0.19,0.15
,93,RASPBERRY MARGARITA (JOSE CUERVO) 2,0.08,0.11,0.09,0.09,0.07,0.06,0.08,0.07,0.04,0.07,0.08,0.08,0.05,0.12,0.13,,,,,,,,,,,,,,,,,,,,,
,8,Skrewball Peanut Butter (Whiskey) 3,16.45,0,16.1,21.1,16,10.5,22.6,0,4.5,5,62,36,16,26.5,6,4.5,,,,,,,,,,,,,,,,,,,,
,62,SPIKED ARNOLD PALMER (TITO'S) 1,0.15,0.11,0.11,0.23,0.16,0.14,0.15,0.18,0.16,0.12,0.14,0.12,0.13,0.16,0.17,0.21,0.16,0.13,0.14,0.14,0.16,0.07,0.2,0.13,0.16,0.14,0.21,,0.2,0.2,0.14,0.19,0.17,0.18,0.08,0.04
,53,SPIKED CRANBERRY LEMONADE (TITO'S) 1,0.14,0.12,0.07,0.14,0.07,0.09,0.2,0.06,0.12,0.19,0.08,0.15,0.09,0.12,0.17,0.13,0.09,0.11,0.12,0.1,0.16,0.11,0.27,0.15,0.23,0.23,0.26,,0.2,0.2,0.2,0.18,0.2,0.16,0.13,0.08
,99,SPIKED CRANBERRY LEMONADE (TITO'S) 2,0.07,0.03,0.06,0.05,0.05,0.03,0.07,0.07,0.04,0.1,0.04,0.06,0.04,0.08,0.06,0.07,0.06,0.07,0.09,0.04,0.08,0.07,0.14,0.16,0.13,0.09,0.13,,0.2,0.1,0.09,0.19,0.24,0.09,0.2,0.02
,64,SPIKED PINK LEMONADE (TITO'S) 1,0.17,0.18,0.08,0.26,0.22,0.22,0.28,0.2,0.2,0.13,0.1,0.06,0.1,0.2,0.14,0.1,0.19,0.14,0.25,0.15,0.16,0.21,0.27,,,,,,0.3,,,0.33,,,,0.07
