,Tap #,"In Gotab product mix, select date range Mon-Sun. Filter alphabetically, type oz of shot taps into G column. Type oz from beer and cocktails into D column. Copy E column and paste special values only into G",,"Weekly 
Usage",AVG,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25,,,,,,,,,,,
,99,SPIKED CRANBERRY LEMONADE (TITO'S) 2,96,0.07,0.08,0.07,0.07,0.04,0.10,0.04,0.06,0.04,0.08,0.06,0.07,0.06,0.07,0.09,0.04,0.08,0.07,0.14,0.16,0.13,0.09,0.13,,0.2,0.1,0.09,0.19,0.24,0.09,0.20,0.02,,,,,,,,,,,
,64,SPIKED PINK LEMONADE (TITO'S) 1,384,0.28,0.17,0.28,0.20,0.20,0.13,0.10,0.06,0.10,0.20,0.14,0.10,0.19,0.14,0.25,0.15,0.16,0.21,0.27,,,,,,0.3,,,0.33,,,,0.07,,,,,,,,,,,
,95,SPIKED PINK LEMONADE (TITO'S) 2,138,0.10,0.06,0.10,0.07,0.02,0.07,0.03,0.12,0.01,0.09,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,SPIKED STRAWBERRY LEMONADE (TITO'S) 1,535,0.39,0.43,0.39,0.22,0.28,0.25,0.34,0.43,0.47,0.36,0.57,0.55,0.34,0.53,0.48,0.31,0.52,0.15,0.85,0.46,0.44,0.50,0.55,,0.6,0.5,0.51,0.53,0.56,0.40,0.45,0.56,,,,,,,,,,,
,96,SPIKED STRAWBERRY LEMONADE (TITO'S) 2 ,58,0.04,0.10,0.04,0.06,0.08,0.16,0.07,0.10,0.06,0.14,0.14,0.11,0.13,0.08,0.14,0.13,0.10,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
,38,STELLA 1,616,0.31,0.33,0.31,0.21,0.18,0.20,0.16,0.30,0.19,0.28,0.25,0.38,0.53,0.29,0.37,0.44,0.38,0.33,0.56,0.42,0.42,0.37,0.36,,0.5,0.4,0.20,0.72,0.54,0.48,0.26,0.13,,,,,,,,,,,
,53,STRAWBERRY MARGARITA (JOSE CUERVO) 1,346,0.22,0.16,0.22,0.12,0.12,0.18,0.13,0.26,0.17,0.19,0.15,0.21,0.13,0.18,0.13,0.17,0.31,0.14,0.20,0.09,0.12,0.11,0.13,,0.2,0.1,0.26,0.31,0.21,0.12,0.11,0.11,,,,,,,,,,,
,55,STRAWBERRY SENORITA (JOSE CUERVO) 1,189,0.14,0.20,0.14,0.11,0.09,0.22,0.18,0.18,0.21,0.20,0.21,0.24,0.28,0.25,0.18,0.17,0.20,0.24,0.24,0.18,0.25,0.28,0.24,,0.2,0.2,0.18,0.22,0.17,0.19,0.19,0.09,,,,,,,,,,,
,55,STRAWBERRY SENORITA (JOSE CUERVO) 2,91,0.07,0.08,0.07,0.03,0.04,0.09,0.10,0.05,0.08,0.12,0.13,0.09,0.12,0.07,0.06,0.08,0.06,0.04,0.06,,,,,,0.0,,,0.02,,,,0.01,,,,,,,,,,,
,92,Tito's (Vodka) 2,12,,15.36,12.00,11.00,3.00,26.00,15.00,10.00,2.00,15.00,40.00,14.00,19.00,25.00,22.00,23,11,0,15.00,6,6,39.00,9,,12.6,15.0,1.50,16.00,18.00,5.00,9.00,0,,,,,,,,,,,
,13,Tito's (Vodka) 3,43,,32.89,43.00,14.00,14.00,39.00,39.00,34.00,26.00,33.00,50.00,40.00,21.00,28.00,26.00,40,24,27,86.00,17,15,41.00,35,,45.6,26.8,37.00,55.00,14.00,33.00,40.00,15,,,,,,,,,,,
 ,44,TRIPLE JAM CIDER 1,1455,0.73,0.58,0.73,0.31,0.53,0.51,0.48,0.56,0.67,0.86, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,TRULY WILD BERRY 1,918,0.46,0.31,0.46,0.18,0.30,0.41,0.26,0.35,0.33,0.36,0.49,0.32,0.45,0.23,0.28,0.23,0.23,0.21,0.33,0.29,0.29,0.23,0.32,,0.2,0.3,0.14,0.24,0.27,0.14,0.09,0.09,,,,,,,,,,,
,36,TRUTH 1,847,0.43,0.45,0.43,0.26,0.29,0.51,0.48,0.43,0.43,0.52,0.38,0.58,0.42,0.37,0.51,0.54,0.55,0.30,0.88,0.29,0.48,0.24,0.48,,0.7,0.4,0.24,0.85,0.85,0.38,0.45,0.30,,,,,,,,,,,
,41,TWO HEARTED IPA 1,517,0.26,0.28,0.26,0.26,0.26,0.25,0.36,0.48,0.22,0.31,0.33,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,VODKA CRAN (TITO'S) 1,371,0.27,0.20,0.27,0.15,0.17,0.26,0.13,0.26,0.20,0.29,0.24,0.24,0.22,0.22,0.26,0.27,0.20,0.18,0.26,0.15,0.19,0.00,0.00,,0.2,0.1,,0.19,0.24,0.10,0.15,0.13,,,,,,,,,,,
,35,VOODOO RANGER 1 ,1053,0.53,0.44,0.53,0.44,0.35,0.50,0.36,0.58,0.43,0.57,0.48,0.36,0.43,0.29,0.41,0.44,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,
,71,WASHINGTON APPLE (CROWN APPLE) 1,196,0.17,0.20,0.17,0.18,0.18,0.22,0.20,0.30,0.25,0.20,0.16,0.19,0.17,0.19,0.20,0.17,0.27,0.14,0.22,0.21,,,,,0.5,0.4,,0.50,0.52,0.42,0.44,0.09,,,,,,,,,,,
,101,WASHINGTON APPLE (CROWN APPLE) 2,87,0.08,0.08,0.08,0.05,0.05,0.09,0.06,0.08,0.05,0.24,0.08,0.06,0.11,0.07,0.06,0.05,0.05,0.09,0.12,0.03,0.06,0.06,0.07,,0.1,0.1,0.07,0.22,0.09,0.08,0.11,0.01,,,,,,,,,,,
,54,WATERMELON MARGARITA (JOSE CUERVO) 1,193,0.13,0.14,0.13,0.09,0.09,0.11,0.14,0.20,0.16,0.11,0.13,0.11,0.12,0.09,0.08,0.12,0.24,0.16,0.25,0.18,0.16,0.16,0.20,,0.2,0.2,0.18,0.18,0.17,0.12,0.16,0.07,,,,,,,,,,,
,72,WHISKEY SOUR (JACK DANIELS) 1,225,0.17,0.24,0.17,0.11,0.13,0.19,0.12,0.17,0.21,0.37,0.27,0.31,0.31,0.47,0.44,0.27,0.19,0.10,0.34,0.25,,,,,0.5,0.5,,0.62,0.49,0.42,0.40,0.10,,,,,,,,,,,
,30,YUENGLING 1,975,0.49,0.40,0.49,0.32,0.29,0.35,0.37,0.39,0.30,0.61,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DO NOT ERASE/COPY  ANYTHING BELOW THIS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!, ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"01/2026-
02/2026",Dec 2025,"08/2025
-11/2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Heffe (Cavalier),,,,,,,,,,,,,,,0.49,0.4,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vanilla Barrel (Cavalier),,,,,,,,,,,,,,,0.36,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,Blood Orange (Premium),,,,,,,,,,,,,0.30,0.27,0.43,0.27,0.40,0.33,0.46,0.51,0.24,0.28,0.28,0.36,,0.4,0.3,0.14,0.41,0.48,0.19,0.23,0.17,,,,,,,,,,, 
,,Cinci Black Raspberry (Cavalier),,,,,,,,,,,,,0.43,0.48,0.37,0.40,0.60,0.55,0.23,0.79,0.36,0.54,0.51,0.66,,0.6,0.5,0.20,0.68,0.76,0.48,0.33,0.26,,,,,,,,,,, 
,,Blueberry Margarita 2 (switched to most popular at main),,,,,,,,,,,,,0.08,0.02,0.04,0.03,0.17,0.27,0.12,0.19,0.18,0.15,0.09,0.18,,0.2,0.2,0.20,0.31,0.15,0.09,0.07,0.02,,,,,,,,,,,
,,House Margarita 2 (switched to most popular at main),,,,,,,,,,,,,0.08,0.04,0.07,0.05,0.10,0.17,0.18,0.25,0.13,0.14,0.16,0.23,,0.2,0.2,0.18,0.16,0.21,0.16,0.12,0.03,,,,,,,,,,,
,,Jungle Juice 1 (discontinued),,0.00,0.33,,,,,,,,,,,,,,,0.31,0.26,0.38,0.39,0.27,0.37,0.30,,0.4,0.3,0.12,0.64,0.60,0.35,0.28,,,,,,,,,,,,
,,Ketel One Shot 3 (didn't sell),,,,,,,,,,,,,,,,,,1.50,1.50,1.50,0.0,0.00,1.50,3.0,,2.4,1.1,1.50,7.50,0.00,3.00,0.00,,,,,,,,,,,,
,,Absolut Citron 2 (didn't sell),,,,,,,,,,,,,,,3.50,1.50,4.50,0.00,3.01,0.00,0.0,0.0,0.00,3.0,,,,,,,,,,,,,,,,,,,,
 ,,Absolut Mandarin 3 (didn't sell),,,,,,,,,,,,,,3.00,6.50,0.00,5.02,1.50,3.02,0.00,4.5,0.0,1.50,0.0,,1.8,1.5,2.3,6.00,0.00,3.00,0.00,2.00,,,,,,,,,,,
,,Absolut Lime (didn't sell),,,,,,,,,,,,,,6.50,1.50,0.00,5.03,3.00,0.00,4.50,1.5,4.5,6.00,4.5,,1.8,4.1,2.3,0.00,0.00,3.00,1.50,0.00,,,,,,,,,,,
,,Ace Pineapple 3 (consolidating distributors),,,,,,,,,,,,,,0.07,0.08,0.16,0.13,0.32,0.14,0.12,0.13,0.14,0.14,0.17,,0.1,0.1,0.08,0.14,0.13,0.17,0.11,0.02,,,,,,,,,,,
,,Heff 3 (Consolidating distributors),,,,,,,,,,,,,,0.11,0.17,0.07,0.12,0.24,0.10,0.17,0.17,0.22,0.28,0.16,,0.2,0.2,0.10,0.22,0.31,0.14,0.18,0.07,,,,,,,,,,,
,,Bourban Barrel 1 (consolidating distributors),,,,,,,,,,,,,,0.35,0.43,0.34,0.33,0.40,0.21,0.34,0.21,0.29,0.26,0.28,,0.4,0.3,0.17,0.34,0.45,0.46,0.23,0.24,,,,,,,,,,,
,,Three Hos (seasonal),,,,,,,,,,,,,,0.08,0.11,0.08,0.12,0.16,0.08,0.39,0.45,0.28,0.37,0.29,,0.4,0.3,0.11,0.29,0.49,0.48,0.34,0.09,,,,,,,,,,,
,,Strawberry Marg 2 ( switched to most popular from main),,,,,,,,,,,,,,0.08,0.07,0.05,0.09,0.08,0.06,0.13,0.09,0.07,0.07,0.05,,0.1,0.1,0.07,0.12,0.11,0.06,0.10,0.03,,,,,,,,,,,
,,"Bacardi 2 (didn't sell, switched to grey goose)",,,,,,,,,,,,,0.00,3.00,4.50,1.50,1.50,4.50,0.00,6.00,1.5,0.0,1.50,1.5,,5.1,1.1,0.8,15.00,4.50,0.00,0.00,3.00,,,,,,,,,,,
,,Single Origin Coffee Stout 1 (consolidating distributors),,,,,,,,,,,,,0.33,0.19,0.27,0.26,0.27,0.36,0.31,0.46,0.29,0.19,0.28,0.28,,0.4,0.3,0.16,0.41,0.56,0.35,0.21,0.12,,,,,,,,,,,
,,Ace Pineapple 1 (consolidating distributors),,,,,,,,,,,,,0.68,0.63,0.55,0.81,0.59,0.56,0.65,0.93,0.50,0.52,0.69,0.76,,0.7,0.6,0.44,0.77,0.79,0.49,0.53,0.25,,,,,,,,,,,
,,Boat Show (consolidating distributors),,,,,,,,,,,,0.67,0.68,0.66,0.68,0.54,0.83,0.64,0.49,0.89,0.83,0.41,0.79,0.75,,0.9,0.7,0.35,1.13,0.98,0.64,0.70,0.40,,,,,,,,,,,
,,Reba 1 (consolidating distributors),,,,,,,,,,,,0.59,0.23,0.27,0.37,0.26,0.25,0.47,0.36,0.45,0.26,0.37,0.34,0.13,,0.4,0.3,0.18,0.40,0.30,0.44,0.33,0.23,,,,,,,,,,,
,,"Jose Gold 3 (consolidating with karaoke due to low sales, adding don julio)",,,,,,,,,,,,0.00,0.00,14.00,7.55,2.00,4.50,1.50,3.01,3.00,10.5,1.5,9.00,,,7.5,7.0,12.00,4.50,15.00,3.00,12.00,1.50,,,,,,,,,,,
,,Cold Snap 1 (seasonal),,,,,,,,,,,0.46,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,Grey Goose (Vodka) 2,#REF!,,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Grey Goose (Vodka) 3,30.53,,16.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Jose Cuervo Silver (Tequila) 3,#REF!,,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,Jose Cuervo Gold (Tequila) 2,#REF!,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,Jose Cuervo Silver (Tequila) 2,#REF!,,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,OLD FASHIONED (BULLEIT) 1,236,0.17,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,PABST BLUE RIBBON 1,444,0.22,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,Crown Apple (Whiskey) 3,18,,28.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Pink Whitney (Vodka) 3,17.00,,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,ESPRESSO MARTINI (TITO'S) 1,119,0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,COORS LIGHT 1,1020,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Don Julio Blanco (Tequila) 3,32,,22.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Patron Silver (Tequila) 3,41.0,,42.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,MODELO 2,420,0.21,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,BREAKFAST STOUT 1,355,0.18,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,RASPBERRY MARGARITA (JOSE CUERVO) 2,128,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,Jack Daniel's (Whiskey) 3,13,,20.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,BUDWEISER 1,258,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,BUSCH LIGHT 1,1058,0.53,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,MILLER LIGHT 1,1774,0.89,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Tito's (Vodka) 3,43,,32.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,SUMMER ALE 1,407,0.21,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,SPIKED PINK LEMONADE (TITO'S) 2,138,0.10,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Skrewball Peanut Butter (Whiskey) 3,22.60,,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,Patron (Tequila) 2 ,7.00,,13.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,TRUTH 1,847,0.43,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,Crown Peach (Whiskey) 3,19.1,,19.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,BLUE DOT (SVEDKA) 2,#REF!,0.09,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,ASTRA RED CREAM SODA 2,#REF!,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,BLUEBERRY MARGARITA (JOSE CUERVO) 1,#REF!,0.15,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,STRAWBERRY SENORITA (JOSE CUERVO) 1,189,0.14,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,VODKA CRAN (TITO'S) 1,371,0.27,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,Crown Apple (Whiskey) 2,0,,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,POMEGRANATE MARTINI (TITO'S) 1,209,0.14,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,BLUE DOT (SVEDKA) 1,#REF!,0.16,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,RASPBERRY MARGARITA (JOSE CUERVO) 1,236,0.15,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,JACK & LEMONADE (JACK DANIEL'S)  1,118,0.09,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,TRULY WILD BERRY 1,918,0.46,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,TRIPLE JAM CIDER 1,1455,0.73,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,STRAWBERRY SENORITA (JOSE CUERVO) 2,91,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,HOUSE MARGARITA (JOSE CUERVO) 1,341.40,0.22,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,Tito's (Vodka) 2,12,,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,CROWN APPLE 'RITA 2,43,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,DORTMUNDER GOLD 1,311,0.16,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,Crown Peach (Whiskey) 2,1.5,,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,Bulleit (Bourbon) 2,19,,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,JACKED UP STRAWBERRY LEMONADE (JACK DANIELS) 1,211,0.15,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,SPIKED STRAWBERRY LEMONADE (TITO'S) 1,,0.39,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,WASHINGTON APPLE (CROWN APPLE) 2,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,CINCY LIGHT 1,,0.31,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,BUD LIGHT 1,,0.46,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,SPIKED PINK LEMONADE (TITO'S) 1,,0.28,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,SPIKED CRANBERRY LEMONADE (TITO'S) 1,,0.20,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,SPIKED ARNOLD PALMER (TITO'S) 1,,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,PEACH MARGARITA (JOSE CUERVO) 1,,0.19,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,WHISKEY SOUR (JACK DANIELS) 1,,0.17,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,VOODOO RANGER 1 ,,0.53,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karaoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,OLD FASHIONED (BULLEIT) 2,53,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,COORS LIGHT 2,135,0.07,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,PABST BLUE RIBBON 2,133.00,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,GARAGE BEER 1,2480,1.25,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,BUSCH LIGHT 2,152,0.08,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Bacardi Superior Traveler(Rum) 3,#REF!,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,Crown Royal (Whiskey) 3,15.6,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,Jack Daniel's Fire (Whiskey) 3,14,,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,TWO HEARTED IPA 1,517,0.26,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,BLUE MOON 1,#REF!,0.74,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,BOOZY CUCUMBER LEMONADE (KETEL ONE) 1,#REF!,0.18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,LEMON DROP MARTINI (TITO'S) 1,#REF!,0.15,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,MICHELOB ULTRA 2,557,0.28,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,CROWN APPLE 'RITA 1,0.15,0.07,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,GOOSE IPA,#REF!,0.31,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Hennessy (Cognac) 3,#REF!,,16.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,Jim Beam (Whiskey) 3,#REF!,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Absolut-Raspberri (Vodka) 750ml 3,#REF!,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,MILLER LIGHT 2,196,0.10,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,STRAWBERRY MARGARITA (JOSE CUERVO) 1,346.0,0.22,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,Bulleit (Bourbon) 3,12,,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Jameson (Whiskey) 3,11.60,,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,SPIKED STRAWBERRY LEMONADE (TITO'S) 2 ,58,0.04,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,WATERMELON MARGARITA (JOSE CUERVO) 1,193,0.13,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,BUD LIGHT 2,319,0.16,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,CINCY LIGHT 2,209,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,SPIKED CRANBERRY LEMONADE (TITO'S) 2,96,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,Pink Whitney (Vodka) 2,3.0,,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,WASHINGTON APPLE (CROWN APPLE) 1,196,0.17,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,YUENGLING 1,975,0.49,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oktoberfest beer seasonal ,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,1690,,Patio  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keg,Boat Show,,Ketel,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1.75l bottles,,,Jack,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,Fire ,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-1L bottles ,,,Crown Apple,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,Bulleit ,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
