,Tap #,"In Gotab product mix, select date range Mon-Sun. Filter alphabetically, type oz of shot taps into G column. Type oz from beer and cocktails into D column. Copy E column and paste special values only into G",,"Weekly 
Usage",AVG,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25,,,,,,,,,,,
,74,BUD LIGHT 2,319,0.16,0.10,0.16,0.08,0.07,0.07,0.09,0.10,0.07,0.25,0.15,0.11,0.05,0.15,0.03,0.03,0.11,0.01,0.21,0.12,0.11,0.11,0.10,,0.2,0.1,0.06,0.11,0.16,0.19,0.13,0.04,,,,,,,,,,,
,42,BUDWEISER 1,258,0.13,0.13,0.13,0.11,0.18,0.17,0.16,0.19,0.09,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,Bulleit (Bourbon) 2,19,,8.12,19.00,6.00,4.00,4.00,4.00,4.00,5.00,13.00,13.00,4.00,2.00,16.00,21.00,12.0,21.00,0.00,3.00,6.0,4.5,7.50,1.5,,12.3,4.9,0.75,25.50,21.00,7.50,4.50,0.00,,,,,,,,,,,
,14,Bulleit (Bourbon) 3,12,,16.52,12.00,30.00,16.00,25.00,17.00,30.00,12.00,26.00,22.00,17.00,24.00,5.00,8.00,27.9,4.50,10.50,16.50,12.0,13.5,1.50,16.5,,17.4,10.9,12.75,4.50,12.00,39.00,15.00,1.51,,,,,,,,,,,
,23,BUSCH LIGHT 1,1058,0.53,0.76,0.53,0.48,0.57,0.69,0.31,1.04,0.34,0.71,1.01,0.63,0.61,0.88,0.71,0.82,1.24,0.58,1.87,0.46,0.69,1.21,0.65,,0.9,0.8,0.31,0.62,1.15,0.68,0.37,0.42,,,,,,,,,,,
,77,BUSCH LIGHT 2,152,0.08,0.11,0.08,0.06,0.03,0.06,0.21,0.07,0.03,0.21,0.24,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,CAPTAIN QUENCHER 1(CAPTAIN MORGAN) 1,137,0.09,0.08,0.09,0.06,0.05,0.07,0.03,0.07,0.07,0.10,0.05,0.09,0.05,0.04,0.14,0.04,0.09,0.05,0.16,0.09,0.08,0.11,0.10,,0.1,0.1,0.07,0.24,0.13,0.10,0.11,0.04,,,,,,,,,,,
,27,CINCY LIGHT 1,617,0.31,0.44,0.31,0.30,0.38,0.28,0.20,0.40,0.32,0.51,0.45,0.60,0.61,0.41,0.40,0.51,0.59,0.50,0.67,0.46,0.43,0.39,0.58,,0.7,0.5,0.25,0.83,0.95,0.66,0.46,0.28,,,,,,,,,,,
,79,CINCY LIGHT 2,209,0.11,0.09,0.11,0.09,0.03,0.08,0.07,0.05,0.03,0.08,0.13,0.12,0.05,0.07,0.08,0.06,0.14,0.11,0.16,0.06,0.11,0.15,0.13,,0.1,0.1,0.06,0.02,0.15,0.08,0.09,0.05,,,,,,,,,,,
,28,SUMMER ALE 1,407,0.21,0.26,0.21,0.27,0.30,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
